pp_boiler,distance,year,automobile,bus,truck,motorcycle,all_mv,num_pp_50_mi,num_pp_100_mi,num_pp_150_mi,fuel_Fossil_fuel,fuel_Gas,fuel_Hydro,fuel_Nuclear,fuel_Oil,fuel_Sun,fuel_Wind,dir_NW,dir_SE,dir_SW,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,state_California,state_Colorado,state_Nevada,state_New Mexico,state_Utah,fuel,state,lat,long
0.0,103.58173504642187,2016,1047362,3128.0,1273607,74562.0,2398659.0,23,46,99,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sun,Nevada,36.408,-114.908
0.0,120.05896611376762,2016,1047362,3128.0,1273607,74562.0,2398659.0,23,46,99,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sun,Nevada,36.031616,-114.929399
2.0,123.08779391702768,2016,1047362,3128.0,1273607,74562.0,2398659.0,23,46,99,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Gas,Nevada,36.0417,-115.0117
0.0,148.35246739360338,2016,1047362,3128.0,1273607,74562.0,2398659.0,23,46,99,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sun,Nevada,35.47972199999999,-114.936111
0.0,146.951050982292,2016,1047362,3128.0,1273607,74562.0,2398659.0,23,46,99,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Wind,Nevada,35.466944,-114.873611
0.0,148.6585351996454,2016,1047362,3128.0,1273607,74562.0,2398659.0,23,46,99,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sun,Nevada,35.793056,-115.35028
2.0,106.10258435587072,2016,1047362,3128.0,1273607,74562.0,2398659.0,23,46,99,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Gas,Nevada,36.4078,-114.9606
0.0,127.67399423133881,2016,1047362,3128.0,1273607,74562.0,2398659.0,23,46,99,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sun,Nevada,36.342536,-115.358069
0.0,108.77537861566955,2016,1047362,3128.0,1273607,74562.0,2398659.0,23,46,99,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sun,Nevada,36.23,-114.87
0.0,147.67900536340997,2016,1047362,3128.0,1273607,74562.0,2398659.0,23,46,99,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Wind,Nevada,39.104167,-114.492222
0.0,119.92705240195605,2016,1047362,3128.0,1273607,74562.0,2398659.0,23,46,99,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Gas,Nevada,36.1375,-115.0339
1.0,119.98292673494272,2016,1047362,3128.0,1273607,74562.0,2398659.0,23,46,99,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Gas,Nevada,36.1384,-115.036
0.0,122.65779701999294,2016,1047362,3128.0,1273607,74562.0,2398659.0,23,46,99,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sun,Nevada,35.937336,-114.883999
0.0,116.5840142909855,2016,940604,5986.0,1288069,82623.0,2317282.0,23,46,99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Hydro,Utah,37.9858,-111.4383
0.0,103.15163133595196,2016,940604,5986.0,1288069,82623.0,2317282.0,23,46,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Biomass,Utah,38.560278,-112.581111
0.0,146.48209868461328,2016,940604,5986.0,1288069,82623.0,2317282.0,23,46,99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Sun,Utah,39.1625,-112.343
0.0,145.6395534351751,2016,940604,5986.0,1288069,82623.0,2317282.0,23,46,99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Sun,Utah,39.154474,-112.359849
0.0,133.1619828802167,2016,940604,5986.0,1288069,82623.0,2317282.0,23,46,99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Sun,Utah,38.960519,-112.36327
0.0,125.76407055229464,2016,2377962,9016.0,3233330,166583.0,5786891.0,29,67,151,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wind,Arizona,35.61,-114.26
0.0,133.20740872256638,2016,2377962,9016.0,3233330,166583.0,5786891.0,29,67,151,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun,Arizona,35.3635,-113.8978
0.0,120.16033786976524,2016,2377962,9016.0,3233330,166583.0,5786891.0,29,67,151,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hydro,Arizona,36.01551,-114.738006
0.0,139.20576621355522,2016,2377962,9016.0,3233330,166583.0,5786891.0,29,67,151,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun,Arizona,35.30452800000001,-114.014747
0.0,143.09421661548632,2016,2377962,9016.0,3233330,166583.0,5786891.0,29,67,151,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun,Arizona,35.241675,-114.004591
0.0,132.35558440467636,2016,2377962,9016.0,3233330,166583.0,5786891.0,29,67,151,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wind,Arizona,35.415556,-112.271111
